CellTowerId,DateTime,DbmSignalStrength,Direction,HandsetMake,HandsetModel,Jitter,Latency,Latitude,LocationAccuracy,Longitude,Loss,NetworkGeneration,NetworkOperatorMCCMNC,NetworkOperatorName,NetworkTechnology,SimOperatorMCCMNC,SimOperatorName
LTE:20610817:174:311:480:20480,2018-09-14 12:32:03+00:00,-76.0,Upload,samsung,SM-G920V,6.611353874206543,101.69999694824219,40.7535527,42.44599914550781,-73.9935017,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610817:174:311:480:20480,2018-09-14 12:32:11+00:00,-76.0,Download,samsung,SM-G920V,3.9226903915405273,110.25,40.7535527,42.44599914550781,-73.9935017,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610817:174:311:480:20480,2018-09-14 12:32:46+00:00,-76.0,Upload,samsung,SM-G920V,6.7712626457214355,97.5,40.7535044,53.03499984741211,-73.9936368,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610817:174:311:480:20480,2018-09-14 12:32:41+00:00,-76.0,Download,samsung,SM-G920V,11.834166526794434,94.44999694824219,40.7535044,53.03499984741211,-73.9936368,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610830:174:311:480:20480,2018-09-14 14:26:06+00:00,-81.0,Upload,samsung,SM-G920V,6.6593918800354,112.55000305175781,40.7533553,27.89900016784668,-73.9934759,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610830:174:311:480:20480,2018-09-14 14:26:07+00:00,-81.0,Download,samsung,SM-G920V,5.641586780548096,106.3499984741211,40.7533553,27.89900016784668,-73.9934759,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610830:174:311:480:20480,2018-09-14 14:25:21+00:00,-84.0,Upload,samsung,SM-G920V,6.681317329406738,105.4000015258789,40.7532759,29.28700065612793,-73.9933582,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610830:174:311:480:20480,2018-09-14 14:25:24+00:00,-84.0,Download,samsung,SM-G920V,4.040729999542236,98.6500015258789,40.7532759,29.28700065612793,-73.9933582,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:165:311:480:20481,2018-09-11 14:41:19+00:00,-62.0,Download,Google,Pixel,0.792149007320404,0.3499999940395355,40.75624425,20.0,-73.98661032,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:165:311:480:20481,2018-09-11 14:41:31+00:00,-67.0,Upload,Google,Pixel,6.402148246765137,43.75,40.7563151,35.0,-73.98611629,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:165:311:480:20481,2018-09-11 14:41:33+00:00,-67.0,Download,Google,Pixel,4.32752799987793,40.150001525878906,40.7563151,35.0,-73.98611629,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610840:175:311:480:20480,2018-09-12 19:05:40+00:00,-82.0,Upload,Google,Pixel,6.813772678375244,104.6500015258789,40.752984,200.0,-73.9953072,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610840:175:311:480:20480,2018-09-12 19:05:38+00:00,-82.0,Download,Google,Pixel,3.863612413406372,100.8499984741211,40.752984,200.0,-73.9953072,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610840:2147483647:311:480:20480,2018-09-10 19:02:35+00:00,-72.0,Upload,samsung,SM-G930V,5.891519546508789,88.69999694824219,40.7530002,19.90999984741211,-73.9926204,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610840:2147483647:311:480:20480,2018-09-10 19:02:41+00:00,-72.0,Download,samsung,SM-G930V,3.5014283657073975,95.19999694824219,40.7530002,19.90999984741211,-73.9926204,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-16 01:15:04+00:00,-112.0,Upload,samsung,SM-G900V,2.586503505706787,50.099998474121094,40.7552251,40.869998931884766,-73.9859323,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-16 01:14:55+00:00,-112.0,Download,samsung,SM-G900V,2.3339879512786865,44.54999923706055,40.7552251,40.869998931884766,-73.9859323,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-15 23:23:59+00:00,-112.0,Download,samsung,SM-G900V,1.3219304084777832,47.54999923706055,40.7552238,45.83100128173828,-73.985928,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-15 22:27:27+00:00,-112.0,Upload,samsung,SM-G900V,3.0659420490264893,40.0,40.7552324,42.9630012512207,-73.9859165,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-15 22:27:19+00:00,-112.0,Download,samsung,SM-G900V,1.2031209468841553,49.04999923706055,40.7552324,42.9630012512207,-73.9859165,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-15 22:35:25+00:00,-112.0,Upload,samsung,SM-G900V,2.662235975265503,57.75,40.7552298,42.882999420166016,-73.985917,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-15 22:35:17+00:00,-112.0,Download,samsung,SM-G900V,1.452583909034729,47.29999923706055,40.7552298,42.882999420166016,-73.985917,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-15 23:24:08+00:00,-112.0,Upload,samsung,SM-G900V,0.4582575559616089,48.29999923706055,40.7552238,45.83100128173828,-73.985928,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-15 06:55:28+00:00,-113.0,Upload,samsung,SM-G900V,5.596515655517578,15.88888931274414,40.7552514,40.641998291015625,-73.9858721,0.10000000149011612,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-15 06:55:30+00:00,-113.0,Download,samsung,SM-G900V,2.393219470977783,42.849998474121094,40.7552514,40.641998291015625,-73.9858721,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-15 04:04:25+00:00,-113.0,Download,samsung,SM-G900V,1.3738632202148438,44.25,40.7552494,43.0989990234375,-73.9859403,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20700428:2147483647:311:480:20481,2018-09-15 04:04:23+00:00,-113.0,Upload,samsung,SM-G900V,4.953786373138428,55.400001525878906,40.7552494,43.0989990234375,-73.9859403,0.0,4G,311480,Verizon Wireless,LTE,311480,
