CellTowerId,DateTime,DbmSignalStrength,Direction,HandsetMake,HandsetModel,Jitter,Latency,Latitude,LocationAccuracy,Longitude,Loss,NetworkGeneration,NetworkOperatorMCCMNC,NetworkOperatorName,NetworkTechnology,SimOperatorMCCMNC,SimOperatorName
LTE:20610828:174:311:480:20480,2018-10-16 12:15:19+00:00,-63.0,Upload,samsung,SM-N960U,5.993955135345459,106.1500015258789,40.75233809,20.368000030517578,-73.99323668,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20610828:174:311:480:20480,2018-10-16 12:15:23+00:00,-63.0,Download,samsung,SM-N960U,3.2572994232177734,98.30000305175781,40.75233809,20.368000030517578,-73.99323668,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 12:53:06+00:00,-83.0,Download,motorola,XT1710-02,4.442972183227539,99.5999984741211,40.7528259,95.68299865722656,-74.0024245,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 12:53:03+00:00,-83.0,Upload,motorola,XT1710-02,6.902897834777832,100.5,40.7528259,95.68299865722656,-74.0024245,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 13:47:59+00:00,-86.0,Upload,motorola,XT1710-02,12.174871444702148,118.3499984741211,40.7530624,82.5,-74.0027652,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 13:48:02+00:00,-86.0,Download,motorola,XT1710-02,11.517377853393555,124.5,40.7530624,82.5,-74.0027652,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 13:48:34+00:00,-93.0,Upload,motorola,XT1710-02,7.36529016494751,120.55000305175781,40.7531829,67.26100158691406,-74.0026777,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 13:48:37+00:00,-93.0,Download,motorola,XT1710-02,9.467180252075195,109.8499984741211,40.7531829,67.26100158691406,-74.0026777,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-17 10:42:18+00:00,-103.0,Upload,motorola,XT1710-02,6.867313861846924,89.19999694824219,40.7537169,200.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-17 10:42:20+00:00,-103.0,Download,motorola,XT1710-02,3.841874599456787,102.80000305175781,40.7537169,200.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 15:46:41+00:00,-103.0,Upload,motorola,XT1710-02,4.44409704208374,98.5,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 15:46:43+00:00,-103.0,Download,motorola,XT1710-02,3.91790771484375,99.5,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 16:41:03+00:00,-100.0,Upload,motorola,XT1710-02,6.714908599853516,121.9000015258789,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 16:41:06+00:00,-100.0,Download,motorola,XT1710-02,6.321392059326172,109.80000305175781,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 16:41:44+00:00,-100.0,Upload,motorola,XT1710-02,7.466424942016602,92.55000305175781,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508704:146:311:480:20480,2018-10-15 16:42:02+00:00,-100.0,Download,motorola,XT1710-02,5.804093360900879,100.75,40.7535643,500.0,-74.0037545,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-15 10:58:10+00:00,-105.0,Upload,motorola,XT1710-02,7.029224872589111,118.30000305175781,40.7527906,400.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-15 10:58:13+00:00,-105.0,Download,motorola,XT1710-02,3.511054039001465,110.1500015258789,40.7527906,400.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-15 10:58:47+00:00,-105.0,Upload,motorola,XT1710-02,40.63692855834961,138.1999969482422,40.7527906,400.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-15 10:58:50+00:00,-105.0,Download,motorola,XT1710-02,3.1666228771209717,110.6500015258789,40.7527906,400.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-17 10:41:40+00:00,-102.0,Download,motorola,XT1710-02,3.5999999046325684,99.19999694824219,40.7537169,200.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-17 19:08:36+00:00,-106.0,Upload,motorola,XT1710-02,11.916375160217285,127.0,40.75380748,22.7549991607666,-73.99992413,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-17 19:08:38+00:00,-106.0,Download,motorola,XT1710-02,4.0,125.0,40.75380748,22.7549991607666,-73.99992413,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-15 18:25:59+00:00,-91.0,Upload,motorola,XT1710-02,7.716216564178467,128.39999389648438,40.7534118,500.0,-74.0048563,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-15 18:26:03+00:00,-91.0,Download,motorola,XT1710-02,11.754148483276367,133.1999969482422,40.7534118,500.0,-74.0048563,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-15 18:26:36+00:00,-105.0,Upload,motorola,XT1710-02,8.395683288574219,123.75,40.7522406,142.5,-74.0019031,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-15 18:26:39+00:00,-105.0,Download,motorola,XT1710-02,12.889530181884766,125.4000015258789,40.7522406,142.5,-74.0019031,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20508706:146:311:480:20480,2018-10-17 10:41:37+00:00,-102.0,Upload,motorola,XT1710-02,6.777905464172363,111.4000015258789,40.7537169,200.0,-74.0026527,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20711712:92:311:480:20481,2018-10-17 22:38:14+00:00,-87.0,Upload,samsung,SM-G920V,5.372150421142578,110.80000305175781,40.75600538,40.95899963378906,-73.98706202,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20711712:92:311:480:20481,2018-10-17 22:38:17+00:00,-87.0,Download,samsung,SM-G920V,3.638681173324585,103.4000015258789,40.75600538,40.95899963378906,-73.98706202,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20538380:372:311:480:20480,2018-10-15 18:17:49+00:00,-114.0,Download,Google,Pixel,4.934318542480469,135.4499969482422,40.7504228,20.31599998474121,-73.9929324,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20538380:372:311:480:20480,2018-10-15 18:17:46+00:00,-114.0,Upload,Google,Pixel,14.998332977294922,135.5,40.7504228,20.31599998474121,-73.9929324,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20538392:373:311:480:20480,2018-10-15 19:21:44+00:00,-110.0,Upload,motorola,XT1710-02,29.75949478149414,275.8500061035156,40.7501861,36.32400131225586,-73.9935797,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20538392:373:311:480:20480,2018-10-15 19:21:48+00:00,-110.0,Download,motorola,XT1710-02,4.5552167892456055,186.5,40.7501861,36.32400131225586,-73.9935797,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20538392:373:311:480:20480,2018-10-15 19:22:28+00:00,-107.0,Upload,motorola,XT1710-02,14.17956256866455,128.1999969482422,40.7504454,22.43899917602539,-73.9939935,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20538392:373:311:480:20480,2018-10-15 19:22:31+00:00,-107.0,Download,motorola,XT1710-02,3.3451457023620605,148.89999389648438,40.7504454,22.43899917602539,-73.9939935,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20482562:2147483647:311:480:20480,2018-10-17 01:20:40+00:00,-105.0,Upload,samsung,SM-G900V,30.305774688720703,166.39999389648438,40.7503855,20.70800018310547,-73.9939169,0.0,4G,311480,Verizon Wireless,LTE,311480,
LTE:20482562:2147483647:311:480:20480,2018-10-17 01:20:43+00:00,-105.0,Download,samsung,SM-G900V,4.763139724731445,91.25,40.7503855,20.70800018310547,-73.9939169,0.0,4G,311480,Verizon Wireless,LTE,311480,
WCDMA:165547628:11977:310:410:420,2018-10-15 19:38:32+00:00,-67.0,Upload,motorola,moto g(6),1394.3470458984375,2385.60009765625,40.7566511,20.195999145507812,-73.9904548,0.0,3G,310410,AT&T,HSPAPlus,23420,
